Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude,Sqm
Starbucks,19767-199325,Forum 1,Company Owned,Sudtiroler Platz 13,Salzburg,5,AT,5020,13366332529,GMT+1:00 Europe/Vienna,13.05,47.81,87
Starbucks,25921-242984,Vienna Airport - landside (Kiosk),Licensed,Wien-Flughafen,Schwechat,9,AT,A-1300,,GMT+1:00 Europe/Vienna,16.56,48.13,130
Starbucks,40206-77760,Neubaugasse,Company Owned,Neubaugasse 4,Wien,9,AT,1070,43 1 3366332507,GMT+1:00 Europe/Vienna,16.35,48.2,195
Starbucks,40202-69420,Millennium City,Company Owned,Handelskai 94-96,Wien,9,AT,1200,43 1 3366332502,GMT+1:00 Europe/Vienna,16.39,48.24,170
Starbucks,23739-161864,Hauptbahnhof Wien,Company Owned,Bahnhof City Wien Hauptbahnhof,Wien,9,AT,1010,4313366332530,GMT+1:00 Europe/Vienna,16.38,48.18,142
Starbucks,15134-158024,Braunerstrasse,Company Owned,Braunerstrasse 2,Wien,9,AT,1010,431336633 2524,GMT+1:00 Europe/Vienna,16.37,48.21,166
Starbucks,40213-99693,Michaelerplatz,Company Owned,Reitschulgasse 4,Wien,9,AT,1010,43 1 3366332514,GMT+1:00 Europe/Vienna,16.37,48.21,68
Starbucks,40212-96779,AKH Allgemeines Krankenhaus,Company Owned,Waehringer Guertel 18-20,Wien,9,AT,1090,43 1 3366332512,GMT+1:00 Europe/Vienna,16.35,48.22,119
Starbucks,40204-76700,Mariahilfer Strasse,Company Owned,Mariahilfer Strasse 23-25,Wien,9,AT,1060,43 1 3366332505,GMT+1:00 Europe/Vienna,16.36,48.2,168
Starbucks,31077-103980,Rotenturmstrasse,Com5any Owned,Rotenturmstrasse 22,Wien,9,AT,1010,43 1 3366332515,GMT+1:00 Europe/Vienna,16.38,48.21,114
